,,,,,,,,,,,,,,,,,Predicted,,,,,,,
,male,1,,,,,,,,,,,,,,,1,0,,Evaluation Metrics,,,,
,female,0,,,,,,,,,,,,,Actual,1,TP,FN,,Accuracy,0.80127186,,,
,,,,,,,,,,,,,,,,0,FP,TN,,Precision,0.755639098,0.770114943,,TP/(TP+FP)
,,,,,,,,,,,,,,,,,,,,Recall (Sensitivity) (True Positive Rate),0.770114943,,,TP/(TP+FN)
,Sex_male,Sex_female,,,,,,,,,,,,,,Confusion Matrix,,,,False Positive Rate,0.176630435,0.770114943,,FP/(FP+TN)
,,,,,,,,,,,,,,,,,Predicted,,,F1 Score,0.762808349,,,
,,,,,,,,,,,,,,,,,1,0,,,,,0,0
,,,,,,,,,,,,,,,Actual,1,201,60,,,,,1,1
,,,,,,Percent change Odds,,,,,,,,,,0,65,303,,,,,,
6906.322787,-93.27592491,-4.567129282,-31.75659329,-11.5820655,0.257604282,40.28594947,-50.29803537,-72.14132786,-89.80831462,,,,,,,,,,,,,,,
Odds,,,,,,,,,,,,,,,,,,,,,,,,
70.06322787,0.067240751,0.954328707,0.682434067,0.884179345,1.002576043,1.402859495,0.497019646,0.278586721,0.101916854,,,,,,,,,,,,,,,
b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,,,,,LL_SUM,Threshold,TP_Total,FP_Total,FN_Total,TN_Total,,ROC Curve,,,
4.24939809,-2.699475803,-0.04674711,-0.382089362,-0.123095358,0.002572731,0.33851265,-0.699125724,-1.278025881,-2.283597957,,,,,-280.0216738,0.4,201,65,60,303,,Threshold,False Positive Rate,True Positive Rate,
Intercept,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Pclass_2,Pclass_3,Survived,y,Odds,P(Survived),LogLoss(LL),Predicted Survived,TP,FP,FN,TN,,0,1,1,
1,0,40,1,1,39,0,0,1,0,1,0.696639576,2.006997002,0.667442302,-0.404302331,1,1,0,0,0,,0.1,0.755434783,0.965517241,
